image_id,category_id,bbox,score
356,1,"[44.0, 415.0, 82.0, 77.0]",0.21727298200130402
356,2,"[76.0, 418.0, 766.0, 175.0]",0.205779731273651
599,1,"[288.0, 324.0, 178.0, 172.0]",0.685979425907135
599,18,"[399.0, 175.0, 464.0, 298.0]",0.577428042888641
599,5,"[1045.0, 553.0, 323.0, 84.0]",0.528788387775421
599,7,"[355.0, 265.0, 64.0, 72.0]",0.44296124577522206
599,7,"[1060.0, 379.0, 301.0, 73.0]",0.44191384315490706
599,5,"[344.0, 574.0, 144.0, 137.0]",0.41956415772438005
599,1,"[1055.0, 422.0, 332.0, 105.0]",0.35770368576049805
599,1,"[1308.0, 441.0, 83.0, 79.0]",0.301063627004623
599,5,"[1283.0, 562.0, 89.0, 64.0]",0.27051520347595204
599,5,"[364.0, 547.0, 792.0, 172.0]",0.24209702014923
599,18,"[329.0, 132.0, 837.0, 376.0]",0.23584808409214003
599,7,"[1203.0, 406.0, 151.0, 47.0]",0.23340010643005302
599,5,"[293.0, 536.0, 1098.0, 274.0]",0.22636494040489102
599,1,"[288.0, 390.0, 1022.0, 297.0]",0.22322647273540402
599,2,"[1035.0, 407.0, 78.0, 89.0]",0.222293898463249
599,7,"[1054.0, 370.0, 124.0, 55.0]",0.209594577550888
76,2,"[604.0, 578.0, 163.0, 180.0]",0.8555721640586851
76,7,"[672.0, 498.0, 71.0, 81.0]",0.784781515598297
76,31,"[89.0, 0.0, 762.0, 658.0]",0.6373164057731621
76,31,"[29.0, 30.0, 1068.0, 1037.0]",0.371309757232666
76,20,"[275.0, 420.0, 615.0, 167.0]",0.346006691455841
76,31,"[157.0, 350.0, 707.0, 708.0]",0.32736814022064203
76,5,"[598.0, 788.0, 144.0, 137.0]",0.251829713582992
76,20,"[328.0, 444.0, 209.0, 146.0]",0.21351321041584
737,18,"[523.0, 192.0, 424.0, 238.0]",0.521587371826171
737,5,"[1847.0, 556.0, 73.0, 73.0]",0.47015768289566
737,1,"[221.0, 434.0, 69.0, 79.0]",0.448288708925247
737,5,"[597.0, 554.0, 718.0, 145.0]",0.378531068563461
737,1,"[1226.0, 452.0, 97.0, 72.0]",0.33571329712867704
737,5,"[572.0, 554.0, 287.0, 94.0]",0.330597728490829
737,5,"[623.0, 500.0, 716.0, 147.0]",0.32363259792327803
737,18,"[163.0, 146.0, 1053.0, 301.0]",0.27470996975898704
737,7,"[1119.0, 407.0, 196.0, 52.0]",0.27406364679336503
737,7,"[567.0, 351.0, 237.0, 68.0]",0.27023786306381203
737,7,"[1173.0, 395.0, 731.0, 145.0]",0.26810038089752203
737,5,"[1165.0, 548.0, 723.0, 157.0]",0.259784549474716
737,1,"[638.0, 423.0, 687.0, 154.0]",0.256739675998687
737,1,"[584.0, 387.0, 250.0, 124.0]",0.25544077157974204
737,5,"[225.0, 549.0, 634.0, 149.0]",0.24412706494331302
737,7,"[226.0, 383.0, 429.0, 70.0]",0.235996961593627
737,5,"[235.0, 493.0, 634.0, 155.0]",0.234528064727783
737,2,"[580.0, 412.0, 77.0, 94.0]",0.22633364796638403
737,5,"[175.0, 519.0, 1163.0, 280.0]",0.225331082940101
737,7,"[605.0, 324.0, 725.0, 144.0]",0.224128559231758
737,5,"[676.0, 539.0, 1244.0, 435.0]",0.22328045964241003
737,2,"[638.0, 423.0, 687.0, 154.0]",0.220803558826446
737,7,"[1243.0, 410.0, 64.0, 43.0]",0.21987603604793501
737,5,"[1036.0, 533.0, 266.0, 86.0]",0.21724241971969602
737,7,"[236.0, 357.0, 405.0, 71.0]",0.21113997697830203
737,5,"[239.0, 533.0, 437.0, 87.0]",0.20438195765018402
869,2,"[1026.0, 356.0, 162.0, 187.0]",0.8540067076683041
869,31,"[361.0, 239.0, 1012.0, 335.0]",0.659459292888641
869,38,"[310.0, 1.0, 1177.0, 309.0]",0.444192498922348
869,7,"[1066.0, 274.0, 78.0, 73.0]",0.371140390634536
869,5,"[1084.0, 645.0, 65.0, 158.0]",0.32494321465492204
869,31,"[507.0, 263.0, 622.0, 263.0]",0.208331421017646
9,1,"[1453.0, 482.0, 130.0, 163.0]",0.82898986339569
9,18,"[717.0, 99.0, 439.0, 343.0]",0.7106274962425231
9,7,"[1474.0, 410.0, 63.0, 82.0]",0.700328052043914
9,18,"[68.0, 118.0, 1138.0, 332.0]",0.513316512107849
9,1,"[562.0, 460.0, 120.0, 154.0]",0.49054220318794206
9,5,"[0.0, 644.0, 723.0, 183.0]",0.401881337165832
9,5,"[568.0, 656.0, 125.0, 133.0]",0.34457436203956604
9,5,"[1470.0, 702.0, 120.0, 149.0]",0.317976117134094
9,18,"[29.0, 127.0, 466.0, 278.0]",0.271636605262756
9,5,"[396.0, 628.0, 1271.0, 414.0]",0.265569329261779
9,1,"[0.0, 448.0, 705.0, 203.0]",0.23595282435417103
9,7,"[566.0, 414.0, 100.0, 60.0]",0.23217855393886502
322,18,"[472.0, 32.0, 433.0, 365.0]",0.689171969890594
322,5,"[203.0, 589.0, 1515.0, 414.0]",0.554839372634887
322,5,"[279.0, 649.0, 161.0, 149.0]",0.545473039150238
322,1,"[1611.0, 478.0, 100.0, 99.0]",0.498495817184448
322,5,"[559.0, 915.0, 255.0, 165.0]",0.48246806859970004
322,8,"[501.0, 264.0, 138.0, 171.0]",0.448323756456375
322,18,"[54.0, 23.0, 923.0, 362.0]",0.41022992134094205
322,1,"[105.0, 385.0, 82.0, 78.0]",0.37349408864974903
322,5,"[1603.0, 616.0, 75.0, 90.0]",0.35476702451705905
322,1,"[1177.0, 446.0, 514.0, 165.0]",0.33856245875358504
322,2,"[236.0, 400.0, 1118.0, 342.0]",0.332137525081634
322,7,"[238.0, 293.0, 653.0, 163.0]",0.321747630834579
322,5,"[1279.0, 598.0, 414.0, 157.0]",0.287825018167495
322,5,"[103.0, 490.0, 326.0, 305.0]",0.28309953212738004
322,18,"[0.0, 25.0, 162.0, 274.0]",0.28143337368965105
322,18,"[12.0, 16.0, 280.0, 312.0]",0.273364722728729
322,1,"[185.0, 408.0, 1438.0, 333.0]",0.24911354482173903
322,1,"[817.0, 434.0, 749.0, 165.0]",0.22970563173294
322,8,"[291.0, 328.0, 92.0, 85.0]",0.21842296421527801
322,5,"[130.0, 499.0, 91.0, 68.0]",0.211614251136779
322,5,"[256.0, 543.0, 464.0, 269.0]",0.207408964633941
544,31,"[53.0, 1.0, 602.0, 794.0]",0.9162347316741941
557,31,"[59.0, 18.0, 682.0, 812.0]",0.790743231773376
557,24,"[1152.0, 568.0, 64.0, 88.0]",0.30443283915519703
557,2,"[1104.0, 517.0, 100.0, 72.0]",0.2946397960186
557,31,"[287.0, 421.0, 419.0, 374.0]",0.250661164522171
694,18,"[605.0, 292.0, 435.0, 283.0]",0.6236248016357421
694,1,"[1124.0, 553.0, 696.0, 150.0]",0.47472053766250605
694,5,"[1117.0, 686.0, 685.0, 132.0]",0.44175860285758906
694,5,"[187.0, 646.0, 1519.0, 309.0]",0.39894986152648904
694,7,"[353.0, 378.0, 53.0, 64.0]",0.37846672534942605
694,7,"[80.0, 404.0, 329.0, 85.0]",0.37447479367256103
694,18,"[144.0, 274.0, 1080.0, 308.0]",0.326126009225845
694,7,"[1237.0, 483.0, 311.0, 71.0]",0.314849585294723
694,5,"[44.0, 607.0, 385.0, 120.0]",0.31319910287857
694,5,"[1403.0, 699.0, 392.0, 106.0]",0.30036821961402804
694,5,"[33.0, 605.0, 760.0, 140.0]",0.285897880792617
694,5,"[230.0, 614.0, 191.0, 115.0]",0.28377354145050004
694,7,"[1461.0, 504.0, 308.0, 80.0]",0.269027322530746
694,5,"[1151.0, 684.0, 400.0, 105.0]",0.267947018146514
694,1,"[40.0, 442.0, 480.0, 153.0]",0.26286694407463
694,18,"[31.0, 225.0, 418.0, 263.0]",0.250175565481185
694,1,"[284.0, 438.0, 160.0, 136.0]",0.22790685296058602
694,7,"[1090.0, 458.0, 664.0, 126.0]",0.22105348110198902
694,1,"[225.0, 533.0, 1433.0, 275.0]",0.21976839005947102
694,1,"[1433.0, 558.0, 377.0, 103.0]",0.21043062210083002
694,18,"[192.0, 241.0, 184.0, 186.0]",0.207217589020729
694,5,"[1115.0, 600.0, 679.0, 186.0]",0.20183490216732003
188,5,"[271.0, 852.0, 172.0, 196.0]",0.828853368759155
188,18,"[559.0, 130.0, 460.0, 351.0]",0.640698850154876
188,8,"[360.0, 391.0, 104.0, 114.0]",0.612151205539703
188,1,"[1548.0, 548.0, 365.0, 290.0]",0.49921417236328103
188,1,"[84.0, 456.0, 403.0, 278.0]",0.43721193075180004
188,8,"[1839.0, 480.0, 78.0, 117.0]",0.421825796365737
188,5,"[217.0, 694.0, 1297.0, 349.0]",0.41271582245826705
188,1,"[670.0, 487.0, 1250.0, 338.0]",0.41136181354522705
188,1,"[61.0, 484.0, 84.0, 85.0]",0.37183240056037903
188,18,"[48.0, 129.0, 1010.0, 361.0]",0.36142033338546703
188,1,"[1063.0, 521.0, 633.0, 197.0]",0.35964557528495705
188,5,"[1788.0, 921.0, 132.0, 159.0]",0.319937795400619
188,5,"[1029.0, 661.0, 624.0, 179.0]",0.309654861688613
188,5,"[1036.0, 680.0, 70.0, 86.0]",0.304303079843521
188,18,"[19.0, 111.0, 304.0, 328.0]",0.291914075613021
188,7,"[75.0, 406.0, 379.0, 89.0]",0.276697248220443
188,7,"[393.0, 612.0, 92.0, 105.0]",0.27297568321228
188,1,"[1028.0, 522.0, 91.0, 116.0]",0.26947596669197005
188,5,"[1549.0, 744.0, 111.0, 91.0]",0.25537031888961703
188,7,"[347.0, 427.0, 791.0, 211.0]",0.23057013750076202
188,5,"[79.0, 606.0, 382.0, 422.0]",0.22775015234947202
188,5,"[68.0, 610.0, 85.0, 71.0]",0.22740583121776503
188,7,"[32.0, 371.0, 482.0, 193.0]",0.224132761359214
188,7,"[50.0, 431.0, 465.0, 237.0]",0.20173099637031502
926,31,"[361.0, 0.0, 1516.0, 1080.0]",0.90132737159729
926,7,"[891.0, 247.0, 132.0, 162.0]",0.8871138691902161
926,1,"[793.0, 404.0, 207.0, 353.0]",0.7011026740074151
926,5,"[811.0, 929.0, 145.0, 151.0]",0.319106817245483
458,7,"[1028.0, 500.0, 90.0, 93.0]",0.853620171546936
458,31,"[808.0, 35.0, 1049.0, 994.0]",0.575801849365234
458,5,"[1031.0, 923.0, 157.0, 156.0]",0.47997811436653104
458,2,"[964.0, 592.0, 205.0, 225.0]",0.33928480744361805
267,5,"[1249.0, 598.0, 81.0, 101.0]",0.5074134469032281
267,18,"[683.0, 10.0, 456.0, 333.0]",0.5061457157135011
267,1,"[647.0, 378.0, 668.0, 178.0]",0.500307619571685
267,5,"[749.0, 560.0, 555.0, 148.0]",0.417117834091186
267,18,"[121.0, 9.0, 1061.0, 346.0]",0.41261887550354004
267,1,"[565.0, 346.0, 69.0, 81.0]",0.30233249068260104
267,8,"[859.0, 333.0, 82.0, 67.0]",0.24465039372444103
267,5,"[561.0, 469.0, 69.0, 72.0]",0.24154283106327
267,1,"[1240.0, 404.0, 99.0, 90.0]",0.24138215184211703
277,5,"[420.0, 505.0, 518.0, 283.0]",0.6047369241714471
277,5,"[732.0, 614.0, 201.0, 161.0]",0.574301302433013
277,18,"[1061.0, 2.0, 421.0, 381.0]",0.5495337843894951
277,1,"[369.0, 330.0, 606.0, 222.0]",0.390046030282974
277,18,"[405.0, 13.0, 1150.0, 351.0]",0.34705755114555303
277,2,"[416.0, 294.0, 87.0, 120.0]",0.293256610631942
277,1,"[786.0, 368.0, 157.0, 176.0]",0.27552121877670205
277,7,"[399.0, 215.0, 539.0, 153.0]",0.27399998903274503
277,5,"[316.0, 414.0, 645.0, 189.0]",0.265796869993209
277,2,"[333.0, 294.0, 591.0, 191.0]",0.26342749595642
277,18,"[470.0, 3.0, 415.0, 252.0]",0.258950173854827
277,2,"[322.0, 292.0, 189.0, 128.0]",0.254577159881591
277,7,"[461.0, 252.0, 438.0, 83.0]",0.22438055276870703
277,5,"[321.0, 433.0, 192.0, 147.0]",0.20968857407569802
277,5,"[146.0, 491.0, 786.0, 444.0]",0.209274023771286
277,8,"[644.0, 257.0, 64.0, 65.0]",0.20194965600967402
202,18,"[1105.0, 55.0, 431.0, 343.0]",0.655971348285675
202,18,"[374.0, 16.0, 1183.0, 356.0]",0.601674973964691
202,1,"[684.0, 340.0, 88.0, 91.0]",0.562308430671691
202,2,"[224.0, 279.0, 77.0, 79.0]",0.510252773761749
202,1,"[1394.0, 420.0, 123.0, 89.0]",0.48597648739814703
202,5,"[1795.0, 744.0, 125.0, 155.0]",0.452183932065963
202,1,"[1411.0, 456.0, 509.0, 220.0]",0.416274636983871
202,5,"[1412.0, 570.0, 504.0, 337.0]",0.38229566812515203
202,5,"[222.0, 422.0, 557.0, 163.0]",0.364370971918106
202,18,"[411.0, 3.0, 489.0, 290.0]",0.344996601343154
202,1,"[564.0, 319.0, 208.0, 113.0]",0.32983595132827703
202,5,"[661.0, 478.0, 98.0, 77.0]",0.28249031305313105
202,5,"[1430.0, 563.0, 58.0, 80.0]",0.26884177327156
202,5,"[225.0, 402.0, 439.0, 85.0]",0.23797814548015503
202,5,"[577.0, 439.0, 184.0, 122.0]",0.22017280757427202
202,7,"[593.0, 283.0, 149.0, 54.0]",0.21057619154453203
202,16,"[0.0, 252.0, 223.0, 140.0]",0.205979660153388
692,1,"[675.0, 414.0, 616.0, 168.0]",0.5126355290412901
692,5,"[663.0, 574.0, 634.0, 119.0]",0.47601315379142706
692,5,"[928.0, 577.0, 358.0, 95.0]",0.41367617249488803
692,7,"[732.0, 355.0, 327.0, 65.0]",0.40555241703987105
692,18,"[63.0, 161.0, 1204.0, 311.0]",0.398549616336822
692,1,"[343.0, 402.0, 794.0, 133.0]",0.38408741354942305
692,2,"[1191.0, 433.0, 84.0, 108.0]",0.35705298185348505
692,7,"[358.0, 362.0, 443.0, 67.0]",0.350503414869308
692,7,"[950.0, 371.0, 303.0, 86.0]",0.34763988852500904
692,7,"[922.0, 355.0, 319.0, 70.0]",0.34219935536384505
692,18,"[824.0, 209.0, 458.0, 258.0]",0.321414798498153
692,18,"[114.0, 159.0, 503.0, 267.0]",0.31294587254524203
692,5,"[1152.0, 583.0, 125.0, 84.0]",0.30971920490264804
692,5,"[663.0, 485.0, 647.0, 177.0]",0.26600250601768405
692,5,"[667.0, 560.0, 389.0, 100.0]",0.26407736539840704
692,7,"[1210.0, 387.0, 56.0, 59.0]",0.256959319114685
692,1,"[700.0, 403.0, 365.0, 107.0]",0.254428714513778
692,7,"[342.0, 385.0, 453.0, 70.0]",0.233819261193275
692,5,"[352.0, 495.0, 672.0, 159.0]",0.227084457874298
692,5,"[253.0, 513.0, 1049.0, 288.0]",0.21966624259948703
692,1,"[318.0, 397.0, 75.0, 85.0]",0.21841651201248102
692,5,"[572.0, 540.0, 1348.0, 408.0]",0.216891676187515
692,7,"[966.0, 347.0, 50.0, 56.0]",0.20846290886402102
692,5,"[325.0, 523.0, 459.0, 94.0]",0.20794707536697302
692,5,"[1859.0, 616.0, 61.0, 69.0]",0.207116469740867
862,31,"[35.0, 15.0, 1629.0, 1065.0]",0.9658702015876771
862,1,"[577.0, 612.0, 537.0, 225.0]",0.5994101166725151
862,5,"[607.0, 881.0, 537.0, 186.0]",0.48717698454856806
862,7,"[640.0, 556.0, 71.0, 90.0]",0.36776331067085205
862,7,"[667.0, 491.0, 463.0, 146.0]",0.34574517607688904
862,31,"[0.0, 8.0, 1517.0, 399.0]",0.33665099740028304
862,1,"[595.0, 641.0, 176.0, 191.0]",0.31937438249588
862,5,"[994.0, 898.0, 152.0, 149.0]",0.309364378452301
862,1,"[992.0, 634.0, 120.0, 174.0]",0.29938456416130005
862,7,"[1028.0, 547.0, 72.0, 84.0]",0.256447255611419
862,5,"[616.0, 924.0, 124.0, 156.0]",0.21786855161190002
743,18,"[597.0, 75.0, 450.0, 331.0]",0.7304255366325371
743,18,"[83.0, 42.0, 1024.0, 365.0]",0.44856330752372703
743,5,"[53.0, 564.0, 718.0, 144.0]",0.402277082204818
743,5,"[6.0, 527.0, 1422.0, 278.0]",0.34005647897720304
743,18,"[0.0, 70.0, 356.0, 320.0]",0.32244074344635004
743,5,"[794.0, 513.0, 795.0, 130.0]",0.32004103064537004
743,5,"[596.0, 514.0, 703.0, 146.0]",0.31726837158203103
743,5,"[1134.0, 503.0, 465.0, 73.0]",0.292683124542236
743,5,"[598.0, 546.0, 269.0, 122.0]",0.27176558971405
743,7,"[1415.0, 387.0, 130.0, 33.0]",0.254275202751159
743,2,"[1148.0, 408.0, 438.0, 77.0]",0.25226008892059304
743,5,"[731.0, 533.0, 366.0, 94.0]",0.24749574065208402
743,5,"[577.0, 581.0, 106.0, 85.0]",0.222622022032737
743,5,"[56.0, 554.0, 92.0, 82.0]",0.217724621295928
743,7,"[1400.0, 394.0, 144.0, 40.0]",0.21760237216949402
743,5,"[1524.0, 515.0, 75.0, 52.0]",0.216506108641624
743,7,"[603.0, 359.0, 157.0, 56.0]",0.21546880900859802
743,7,"[44.0, 337.0, 739.0, 138.0]",0.207982689142227
743,5,"[36.0, 492.0, 732.0, 173.0]",0.20540763437747903
896,31,"[0.0, 0.0, 1828.0, 1080.0]",0.9850385785102841
896,1,"[546.0, 284.0, 174.0, 200.0]",0.7453150153160091
896,7,"[595.0, 204.0, 68.0, 95.0]",0.422206401824951
896,31,"[1576.0, 599.0, 344.0, 480.0]",0.22650846838951103
234,2,"[1583.0, 328.0, 168.0, 172.0]",0.7261024713516231
234,1,"[512.0, 331.0, 90.0, 104.0]",0.665482699871063
234,5,"[1133.0, 516.0, 553.0, 186.0]",0.660017549991607
234,5,"[504.0, 467.0, 82.0, 79.0]",0.5345300436019891
234,8,"[1650.0, 264.0, 66.0, 72.0]",0.514772713184356
234,18,"[563.0, 0.0, 454.0, 316.0]",0.41502425074577304
234,5,"[487.0, 487.0, 1230.0, 337.0]",0.384672045707702
234,5,"[479.0, 477.0, 822.0, 202.0]",0.37012439966201705
234,2,"[1171.0, 310.0, 561.0, 201.0]",0.35689380764961204
234,5,"[1574.0, 561.0, 125.0, 151.0]",0.321037918329238
234,1,"[532.0, 320.0, 784.0, 156.0]",0.24790133535861902
234,18,"[192.0, 13.0, 1089.0, 318.0]",0.23683457076549502
234,7,"[561.0, 281.0, 727.0, 131.0]",0.23128923773765503
